# Values for Figure 2 in Rupp et al. (202x). Temperature Gradients and Inversions in a Forested Cascade Range Basin: Synoptic- to Local-Scale Controls. J. Geophys. Res. Atmos. x(x). xx-xx. doi:...
# File created 2020-10-16 by David E. Rupp (david.rupp@oregonstate.edu).
# Mean temperature inversion frequency by hour of day and month with 2.5th and 97.5th percentile confidence limits
# RS02 = Reference Stand 2; RS04 = Reference Stand 4 (Daly and McKee 2016)
# PRIMET = Primary meteorological station; VANMET = Vanilla Leaf meteorological station (Daly and McKee 2019)
# LLT = Lower Lookout transect; ULT = Upper Lookout transect (Daly 2017)
# Hour = Hour of day (PST).
# RS04-RS02
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
16,0.694,0.559,0.661,0.595,0.42,0.525,0.781,0.719,0.705,0.583,0.494,0.461
17,0.69,0.547,0.654,0.589,0.529,0.562,0.753,0.786,0.707,0.583,0.475,0.481
18,0.713,0.539,0.63,0.557,0.529,0.571,0.815,0.805,0.694,0.567,0.486,0.481
19,0.713,0.535,0.586,0.542,0.508,0.579,0.812,0.795,0.688,0.57,0.508,0.487
20,0.724,0.515,0.59,0.528,0.5,0.558,0.79,0.786,0.71,0.589,0.522,0.498
21,0.744,0.508,0.593,0.548,0.517,0.566,0.797,0.827,0.722,0.594,0.522,0.49
22,0.74,0.519,0.59,0.587,0.541,0.608,0.841,0.857,0.732,0.591,0.539,0.503
23,0.74,0.492,0.571,0.587,0.56,0.607,0.855,0.86,0.75,0.608,0.531,0.49
24,0.724,0.504,0.571,0.542,0.578,0.599,0.855,0.87,0.753,0.586,0.531,0.476
# ULT
# 97.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.815,0.644,0.674,0.656,0.716,0.719,0.933,0.94,0.857,0.709,0.627,0.58
2,0.815,0.652,0.667,0.638,0.716,0.715,0.927,0.94,0.855,0.699,0.635,0.583
3,0.805,0.652,0.659,0.638,0.693,0.715,0.922,0.922,0.847,0.696,0.616,0.593
4,0.799,0.633,0.653,0.645,0.678,0.704,0.902,0.915,0.833,0.694,0.591,0.585
5,0.789,0.636,0.646,0.623,0.654,0.68,0.89,0.892,0.814,0.681,0.578,0.588
6,0.786,0.633,0.653,0.593,0.666,0.66,0.873,0.892,0.817,0.665,0.599,0.599
7,0.769,0.625,0.636,0.596,0.67,0.668,0.876,0.871,0.82,0.683,0.608,0.599
8,0.762,0.625,0.632,0.596,0.627,0.643,0.867,0.866,0.795,0.689,0.586,0.628
9,0.759,0.625,0.618,0.585,0.607,0.633,0.84,0.833,0.75,0.657,0.575,0.604
10,0.769,0.598,0.638,0.595,0.572,0.579,0.762,0.794,0.731,0.627,0.571,0.601
11,0.776,0.596,0.635,0.652,0.501,0.428,0.587,0.721,0.725,0.636,0.576,0.607
12,0.782,0.575,0.672,0.665,0.474,0.41,0.474,0.667,0.737,0.647,0.571,0.609
13,0.779,0.628,0.726,0.697,0.529,0.528,0.599,0.635,0.76,0.675,0.596,0.585
14,0.772,0.651,0.775,0.716,0.582,0.574,0.738,0.726,0.75,0.664,0.596,0.591
15,0.778,0.673,0.768,0.704,0.532,0.66,0.824,0.814,0.754,0.678,0.586,0.582
16,0.799,0.682,0.771,0.72,0.565,0.674,0.877,0.836,0.799,0.683,0.599,0.566
17,0.796,0.671,0.765,0.709,0.654,0.687,0.858,0.871,0.801,0.683,0.58,0.585
18,0.815,0.663,0.742,0.679,0.654,0.694,0.896,0.884,0.79,0.668,0.591,0.585
19,0.815,0.659,0.701,0.664,0.635,0.702,0.894,0.876,0.784,0.67,0.613,0.591
20,0.825,0.64,0.705,0.651,0.627,0.683,0.876,0.868,0.803,0.689,0.627,0.601
21,0.841,0.633,0.708,0.67,0.643,0.691,0.882,0.902,0.814,0.694,0.627,0.593
22,0.838,0.644,0.705,0.707,0.666,0.729,0.916,0.925,0.822,0.691,0.643,0.607
23,0.838,0.617,0.688,0.707,0.684,0.728,0.927,0.927,0.838,0.707,0.635,0.593
24,0.825,0.629,0.688,0.664,0.701,0.722,0.927,0.935,0.841,0.686,0.635,0.58
# Mean sunrise and sunset time (decimal hour PST) at HJA Andrews Forest (PRIMET) on horizontal surface with no obstructions
"Transition","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Sunrise",7.523,7.024,6.203,5.294,4.585,4.308,4.549,5.094,5.678,6.283,6.949,7.484
"Sunset",16.529,17.146,17.79,18.436,19.046,19.611,19.813,19.463,18.68,17.753,16.889,16.413
